iter	Logloss
0	0.6617268424
1	0.6371533055
2	0.6190135081
3	0.6053737479
4	0.5945679708
5	0.586528047
6	0.5797451703
7	0.574029009388	0.569134226899	0.565021508610	0.5435960423
11	0.5424385682
12	0.5418512857
13	0.5412051658
14	0.5402685105
15	0.5395995412
16	0.5389583466
17	0.5384990261
18	0.5383266298
19	0.5379800195
20	0.5376797637
21	0.5374501496
22	0.5371767401
23	0.5370380816
24	0.5368622994
25	0.5368106145
26	0.5366089556
27	0.5363767218
28	0.5362463923
29	0.5360735067
30	0.5359334504
31	0.535826246
32	0.5356037329
33	0.5354343765
34	0.5353132405
35	0.5351760539
36	0.535090967
37	0.5350840844
38	0.5349288844
39	0.5348351103
40	0.5347786981
41	0.53469668
42	0.5345783879
43	0.5344494595
44	0.5343601597
45	0.5343558154
46	0.5343326367
47	0.5342223086
4848	0.5340513215
49	0.5340447924
50	0.5339374012
51	0.5339374376
52	0.5338422642
53	0.5337202721
54	0.5337005793
55	0.5336131951
56	0.5334560675
57	0.5333449769
58	0.5332648316
59	0.5331926067
60	0.5330143708
61	0.532850039
62	0.5328133613
63	0.5327405433
64	0.532681965	065	0.532623766	066	0.532563067	0.53253405
68	0.532370878
69	0.5369	0.532382711
70	0.532271	0.5371	0.532272	0.5372	0.532273	0.5321194165
74	0.5320596686
75	0.575	0.5320776	0.5318272782
77	0.5317923895
78	0.578	0.531840384
79	0.5317776241
80	0.5317726416
81	0.5317410254
82	0.531673925
83	0.5316721424
84	0.5315595166
85	0.5315571072
86	0.5313920166
87	0.5313141428
88	0.5311940039
89	0.5311863711
90	0.531185619
91	0.531093971
92	0.530998837
93	0.5309420758
94	0.5309066087
95	0.5308120712
96	0.5307651252
97	0.5307446175
98	0.530699	0.5303670863
100	0.5303051349
101	0.5301985546
102	0.5300563142
103	0.529994549
104	0.5298478709
105	0.5297021296
106	0.5296437646
107	0.5295070753
108	0.5294254556
109	0.52932877
110	0.5292635343
111	0.5291768597
112	0.5291223556
113	0.5290851141
114	0.5289870985
115	0.5288851255
116	0.5287379054
117	0.5286345927
118	0.5286341202
119	0.5285248391
120	0.5283583071
121	0.5282287921
122	0.122	0.52855123	0.5279661835
124	0.124	0.528262275
125	0.5281410646
126	0.5280544675
127	0.5279640479
128	0.5278848651
129	0.5277750926
130	0.5276583779
131	0.5275459171
132	0.52742232
133	0.5272919361
134	0.52714135	0.5266303718
136	0.5265489189
137	0.5264623214
138	0.5263759079
139	0.5262330803
140	0.52602214
141	0.5258834384
142	0.525864514
143	0.5256961818
144	0.5255601271
145	0.5253926712
146	0.5252595731
147	0.5250579132
148	0.5249307873
149	0.52476999
150	0.5247089298
151	0.5245554287
152	0.5244368861
153	0.5242879302
154	0.5241791527
155	0.5240939487
156	0.5238737729
157	0.52157	0.523158	0.52158	0.5239029284
159	0.5237662663
160	0.5237126059
161	0.5236281987
162	0.5235642336
163	0.5234444818
164	0.5232923976
165	0.5231395972
166	0.5229964895
167	0167	0.5220608809
168	0.5218777019
169	0.5217515791
170	0.5216825931
171	0.5214904642
172	0.5213594091
173	0.5212241827
174	0.5211747199
175	0.5211085043
176	0.5210303728
177	0.5209594316
178	0.5208130531
179	0.52072180	0.5216289774
181	0.5215419809
182	0.521433542
183	0.5213435896
184	0.5211384298
185	0.5210633558
186	0.5209475985
187	0.5207846234
188	0.5207068883
189	0.5206340423
190	0.5205883765
191	0.5205450136
192	0.5204834681
193	0.5203564766
194	0.194	0.51890195	0.195	0.51882196	0.5200792311
197	0.5200142639
198	0.5198484524
199	0.5196807468
200	0.5194714527
201	0.5193583858
202	0.5192868065
203	0.5191728233
204	0.5190126911
205	0.518936696
206	0.5188402036
207	0.518762196
208	0.5186944912
209	0.5185518162
210	0.5184752845
211	0.5183445301
212	0.5182601345
8203509
	0.5168602109
215	0.5167339267
216	0.5166663169
217	0.5165153392
5179256345
218	0.5178755296
219	0.5177368386
220	0.517627978
221	0.5175300354
222	0.5174476664
223	0.517324549
224	0.5171980462
225	0.5170628384
226	0.5168813312
227	0.516792428
228	0.5167031645
229	0.5165516838
54
230	0.5284427818
231	0.5283734153
232	0.528331516
233	0.5282655931
234	0.5281826279
235	0.5281457358
236	0.528107083
237	0.5280784358
238	0.5280481673
239	0.5279378151
240	0.5278893782
241	0.5278486623
242	0.5278144732
243	0.5277332535
244	0.5277035826
245	0.5276532906
246	0.5276117889
.5136222763
248	0.5134572954
249	0.5133629579
92
250	0.5263894085
251	0.5262752083
252	0.5262312065
253	0.5261632212
254	0.5261173619
255	0.5260468414
256	0.5259631821
257	0.525891669
258	0.5258203518
259	0.5257528806
260	0.5257383459
261	0.5256891092
262	0.5256245974
263	0.5255832516
264	0.5255046679
265	0.5254355978
266	0.5253969535
267	0.5253548106
268	0.5252674685
269	0.5252115317
270	0.5251419723
271	0.5250704122
272	0.5249992892
273	0.5249115904
274	0.524275	0.5275	0.5246276	0.5245009553
277	0.5244451988
278	0.5243526893
279	0.5242743133
280	0.5241893267
6214
281	0.5243452361
282	0.5242035988
283	0.5241219753
284	0.5240889537
285	0.5239934309
286	0.5239342365
287	0.5238832946
288	0.5238155959
289	0.5237810297
290	0.523715979
291	0.5236528283
292	0.5236108044
293	0.5235440293
294	0.5234855179
295	0.5234314983
296	0.5233405936
297	0.523255323
298	0.523181677
299	0.5231361097
300	0.5230660906
3301	0.522597347
302	0.5225194429
303	0.522403188
304	0.5223070363
305	0.5222109403
306	0.5221826172
307	0.5221579588
308	0.522095068
309	0.5220208631
310	0.521968802
84
311	0.5229978137
.5221274098
313	0.5220315491
314	0.5219978683
315	0.5219617847
316	0.5218601009
317	0.5218159314
318	0.5217270725
319	0.5216480994
320	0.5215991172
321	0.5214757513
322	0.5213744038
323	0.521309847
324	0.5212332751
325	0.5211528388
326	0.5210909174
327	0.521032931
328	0.5209306229
329	0.5208312122
330	0.5207524253
0.5014473645
332	0.5013416976
333	0.5012910178
334	0.50122772
335	0.5011691866
336	0.5010831805
89
337	0.5025043095
338	0.5023744849
339	0.5023390763
340	0.5022746243
341	0.5021649339
342	0.5020459634
343	0.5020077266
344	0.5019376012
345	0.5018552349
346	0.501755088
347	0.5017175382
348	0.5016168908
0.5006504097
349	0.5006134882
350	0.5004754699
351	0.5003510908
352	0.5002505608
353	0.5001879118
01
354	0.4999365915
355	0.4998881513
356	0.4998192531
357	0.4997506904
358	0.4996272108
359	0.4995057215
360	0.4994015316
361	0.4993207892
362	0.4992517316
363	0.499157941
364	0.4990596414
365	0.4989832458
366	0.4988780657
367	0.4987268306
368	0.4986891351
369	0.4985562258
370	0.498525647
371	0.4984651622
372	0.4983204737
373	0.4982719764
374	0.4981885131
375	0.4981131986
376	0.4980525246
377	0.4979428083
597159
379	0.4969015148
380	0.4968489117
381	0.4967937202
382	0.4966870268
383	0.4966339639
384	0.496554313
385	0.4964682204
386	0.4963909612
387	0.496308089
388	0.4962039958
389	0.4961088899
390	0.4960555467
391	0.4959724872
392	0.4958978043
393	0.4958165294
394	0.4957307191
395	0.495628161
396	0.495523784
397	0.4955035899
398	0.495431213
399	0.4953149539
400	0.4952050931
